,species,island,bill_length_mm,bill_depth_mm,flipper_length_cm,body_mass_g,sex,year, 
1,Adelie,Torgersen,39.1,18.7,1.81,3750,male,2007, 
2,Adelie,Torgersen,39.5,17.4,1.86,3800,female,2007,
3,Adelie,Torgersen,40.3,18,1.95,3250,female,2007,
4,Adelie,Torgersen,NA,NA,,NA,NA,2007,
5,Adelie,Torgersen,36.7,19.3,1.93,3450,female,2007,
6,Adelie,Torgersen,39.3,20.6,1.9,3650,male,2007,
7,Adelie,Torgersen,38.9,17.8,1.81,3625,female,2007,
8,Adelie,Torgersen,39.2,19.6,1.95,4675,male,2007,
9,Adelie,Torgersen,34.1,18.1,1.93,3475,NA,2007,
10,Adelie,Torgersen,42,20.2,1.9,4250,NA,2007,
11,Adelie,Torgersen,37.8,17.1,1.86,3300,NA,2007,
12,Adelie,Torgersen,37.8,17.3,1.8,3700,NA,2007,
13,Adelie,Torgersen,41.1,17.6,1.82,3200,female,2007,
14,Adelie,Torgersen,38.6,21.2,1.91,3800,male,2007,
15,Adelie,Torgersen,34.6,21.1,1.98,4400,male,2007,
16,Adelie,Torgersen,36.6,17.8,1.85,3700,female,2007,
17,Adelie,Torgersen,38.7,19,1.95,3450,female,2007,
18,Adelie,Torgersen,42.5,20.7,1.97,4500,male,2007,
19,Adelie,Torgersen,34.4,18.4,1.84,3325,female,2007,
20,Adelie,Torgersen,46,21.5,1.94,4200,male,2007,
21,Adelie,Biscoe,37.8,18.3,1.74,3400,female,2007,
22,Adelie,Biscoe,37.7,18.7,1.8,3600,male,2007,
23,Adelie,Biscoe,35.9,19.2,1.89,3800,female,2007,
24,Adelie,Biscoe,38.2,18.1,1.85,3950,male,2007,
25,Adelie,Biscoe,38.8,17.2,1.8,3800,male,2007,
26,Adelie,Biscoe,35.3,18.9,1.87,3800,female,2007,
27,Adelie,Biscoe,40.6,18.6,1.83,3550,male,2007,
28,Adelie,Biscoe,40.5,17.9,1.87,3200,female,2007,
29,Adelie,Biscoe,37.9,18.6,1.72,3150,female,2007,
30,Adelie,Biscoe,40.5,18.9,1.8,3950,male,2007,
31,Adelie,Dream,39.5,16.7,1.78,3250,female,2007,
32,Adelie,Dream,37.2,18.1,1.78,3900,male,2007,
33,Adelie,Dream,39.5,17.8,1.88,3300,female,2007,
34,Adelie,Dream,40.9,18.9,1.84,3900,male,2007,
35,Adelie,Dream,36.4,17,1.95,3325,female,2007,
36,Adelie,Dream,39.2,21.1,1.96,4150,male,2007,
37,Adelie,Dream,38.8,20,1.9,3950,male,2007,
38,Adelie,Dream,42.2,18.5,1.8,3550,female,2007,
39,Adelie,Dream,37.6,19.3,1.81,3300,female,2007,
40,Adelie,Dream,39.8,19.1,1.84,4650,M,2007,
41,Adelie,Dream,36.5,18,1.82,3150,female,2007,
42,Adelie,Dream,40.8,18.4,1.95,3900,male,2007,
43,Adelie,Dream,36,18.5,1.86,3100,female,2007,
44,Adelie,Dream,44.1,19.7,1.96,4400,male,2007,
45,Adelie,Dream,37,16.9,1.85,3000,female,2007,
46,Adelie,Dream,39.6,18.8,1.9,4600,male,2007,
47,Adelie,Dream,41.1,19,1.82,3425,male,2007,
48,Adelie,Dream,37.5,18.9,1.79,2975,NA,2007,
49,Adelie,Dream,36,17.9,1.9,3450,female,2007,
50,Adelie,Dream,42.3,21.2,1.91,4150,male,2007,
51,Adelie,Biscoe,39.6,17.7,1.86,3500,female,2008,
52,Adelie,Biscoe,40.1,18.9,1.88,4300,male,2008,
53,Adelie,Biscoe,35,17.9,1.9,3450,female,2008,
54,Adelie,Biscoe,42,19.5,2,4050,male,2008,
55,Adelie,Biscoe,34.5,18.1,1.87,2900,female,2008,
56,Adelie,Biscoe,41.4,18.6,1.91,3700,male,2008,
57,Adelie,Biscoe,39,17.5,1.86,3550,female,2008,
58,Adelie,Biscoe,40.6,18.8,1.93,3800,male,2008,
59,Adelie,Biscoe,36.5,16.6,1.81,2850,female,2008,
60,Adelie,Biscoe,37.6,19.1,1.94,3750,male,2008,
61,Adelie,Biscoe,35.7,16.9,1.85,3150,female,2008,
62,Adelie,Biscoe,41.3,21.1,1.95,4400,male,2008,
63,Adelie,Biscoe,37.6,17,1.85,3600,female,2008,
64,Adelie,Biscoe,41.1,18.2,1.92,4050,male,2008,
65,Adelie,Biscoe,36.4,17.1,1.84,2850,female,2008,
66,Adelie,Biscoe,41.6,18,1.92,3950,male,2008,
67,Adelie,Biscoe,35.5,16.2,1.95,3350,female,2008,
68,Adelie,Biscoe,41.1,19.1,1.88,4100,male,2008,
69,Adelie,Torgersen,35.9,16.6,1.9,3050,female,2008,
70,Adelie,Torgersen,41.8,19.4,1.98,4450,male,2008,
71,Adelie,Torgersen,33.5,19,1.9,3600,female,2008,
72,Adelie,Torgersen,39.7,18.4,1.9,3900,male,2008,
73,Adelie,Torgersen,39.6,17.2,1.96,3550,female,2008,
74,Adelie,Torgersen,45.8,18.9,1.97,4150,male,2008,
75,Adelie,Torgersen,35.5,17.5,1.9,3700,female,2008,
76,Adelie,Torgersen,42.8,18.5,1.95,4250,male,2008,
77,Adelie,Torgersen,40.9,16.8,1.91,3700,female,2008,
78,Adelie,Torgersen,37.2,19.4,1.84,3900,male,2008,
79,Adelie,Torgersen,36.2,16.1,1.87,3550,female,2008,
80,Adelie,Torgersen,42.1,19.1,1.95,4000,male,2008,
81,Adelie,Torgersen,34.6,17.2,1.89,3200,female,2008,
